id,source,created_at,tweet,in_reply_to_screen_name,favorite_count,retweet_count,is_quote_status,media_count,url_count,symbol_count,hashtag_count,mention_count,mention_total_follower_count,mention_total_status_count,is_retweet,retweet_id,retweet_user_follower_count,retweet_user_friend_count,retweet_user_favorites_count,retweet_user_status_count,retweet_retweet_count,retweet_favorite_count,quote_id,quote_user_follower_count,quote_user_friend_count,quote_user_favorites_count,quote_user_status_count,quote_retweet_count,quote_favorite_count,quote_full_text,quote_media_count,quote_url_count,quote_symbol_count,quote_hashtag_count,quote_mention_count
1606353451645927425,Twitter Media Studio,2022-12-23 18:18:02+00:00,"This Christmas, we're with you Ukraine 🇬🇧🇺🇦 https://t.co/3EzdtfLtqJ",,3150,535,False,1,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1605620449513177088,Twitter Web App,2022-12-21 17:45:20+00:00,"RT @RishiSunak: Fantastic to attend this evening’s #Chanukah reception in No10. 

In the spirit of Chanukah, let’s look ahead to 2023 with…",,0,418,False,0,0,0,1,1,0,0,True,1605618835721261056,1865910,266,298,2543,418,4808,,,,,,,,,0,0,0,0,0
1605577842770804737,Twitter Web App,2022-12-21 14:56:02+00:00,"No one, not least those who have served this country, should be homeless.
 
Today @VeteransGovUK has announced a £8.5M package to tackle veteran homelessness and provide a central point to help those in need.
 
The PM met charities &amp; veterans earlier to welcome this announcement. https://t.co/vC100mugKv",,631,109,False,1,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1605573382438649856,Twitter Web App,2022-12-21 14:38:19+00:00,"RT @RishiSunak: As a father to daughters, I cannot imagine a world in which they’re denied an education.
 
The women of Afghanistan have so…",,0,7119,False,0,0,0,0,1,0,0,True,1605572798075871232,1865910,266,298,2543,7119,58323,,,,,,,,,0,0,0,0,0
1605520538176131072,Twitter Web App,2022-12-21 11:08:20+00:00,RT @RoyalFamily: 👏 Congratulations to everyone involved with the 20 charities which have been awarded The Queen Elizabeth II Platinum Jubil…,,0,376,True,0,0,0,0,1,0,0,True,1605515738126503936,5751619,458,3726,37750,376,3554,1605488248280662016,286921,1609,14179,46774,78,288,"The #PlatinumJubilee Queen's Award for Voluntary Service recognises 20 exceptional organisations supporting young people

Hear from @QueensAwardVS judges about why these charities were chosen and the work they do

📺 Sir Martyn Lewis
🇬🇧 Baroness @Tanni_GT
💡 Ahmed Ibrahim https://t.co/ycIy2thS4b",1,0,0,1,2
1604938036986478592,Twitter Web App,2022-12-19 20:33:40+00:00,"Standing with Ukraine 🇺🇦

Bolstering @JEFnations 🤝 

Thanking our troops 🇬🇧 https://t.co/1GqhvgkrVe",,719,111,False,1,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1604891554581303296,Twitter Web App,2022-12-19 17:28:58+00:00,"🇬🇧☕️🇪🇪

En route to Tapa military base, the Prime Minister held talks with PM @kajakallas of Estonia.

The PM underlined the UK’s commitment to Estonia’s security as a @NATO ally. 

The two leaders also signed an agreement to strengthen the tech partnership between our countries. https://t.co/p9eOMsg0oa",,1418,142,False,1,0,0,0,2,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1604888191672193036,Twitter Web App,2022-12-19 17:15:36+00:00,"The Prime Minister met the Latvian PM @KrisJanisKarins in Riga today.

The PM thanked him for convening @JEFNations and welcomed their strong defence and security cooperation. They also discussed opportunities to bolster bilateral ties and accelerate trade between🇬🇧 &amp; 🇱🇻 https://t.co/PfrtXIfgT5",,316,42,False,1,0,0,0,2,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1604836401958240258,Twitter Web App,2022-12-19 13:49:49+00:00,"RT @RishiSunak: The @JEFnations are some of Ukraine’s closest friends and allies.

We know that their security is our security. 

The resol…",,0,355,False,0,0,0,0,2,0,0,True,1604835158418460672,1865910,266,298,2543,355,3630,,,,,,,,,0,0,0,0,0
1604814848235380736,Twitter Web App,2022-12-19 12:24:10+00:00,"10 nations. 

One shared goal. 

Working together to preserve stability and security in Northern Europe. 

We are the @JEFNations 

#JEFtogether 🇳🇱🇱🇹🇸🇪🇬🇧🇪🇪🇱🇻🇳🇴🇫🇮🇩🇰🇮🇸 https://t.co/3WAdvYgj7e",,890,132,False,1,0,0,1,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1604752863158489093,Twitter Media Studio,2022-12-19 08:17:52+00:00,"Today Prime Minister @RishiSunak is in Riga, Latvia 🇱🇻 attending the @JEFnations Leaders' meeting.  

The Joint Expeditionary Force (JEF) is a coalition of like-minded nations who share a commitment to the security of Northern Europe.  

#JEFtogether https://t.co/u3liV7D7Yp",,565,125,False,1,0,0,1,2,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1604464768038932480,Twitter Web App,2022-12-18 13:13:04+00:00,"Happy #Hanukkah to Jewish communities celebrating in the UK and around the world.

Chag Sameach! https://t.co/YS4MJbUcbP",,910,191,False,1,0,0,1,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
