id,source,created_at,tweet,in_reply_to_screen_name,favorite_count,retweet_count,is_quote_status,media_count,url_count,symbol_count,hashtag_count,mention_count,mention_total_follower_count,mention_total_status_count,is_retweet,retweet_id,retweet_user_follower_count,retweet_user_friend_count,retweet_user_favorites_count,retweet_user_status_count,retweet_retweet_count,retweet_favorite_count,quote_id,quote_user_follower_count,quote_user_friend_count,quote_user_favorites_count,quote_user_status_count,quote_retweet_count,quote_favorite_count,quote_full_text,quote_media_count,quote_url_count,quote_symbol_count,quote_hashtag_count,quote_mention_count
1601636036739620865,Twitter for iPhone,2022-12-10 17:52:42+00:00,COME ON ENGLAND!!!!,,207606,28002,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1601635985686925313,Twitter for iPhone,2022-12-10 17:52:30+00:00,Here we fucking go https://t.co/Er78ANu3GS,,96186,10865,True,0,1,0,0,0,0,0,False,,,,,,,,1601635173472534528,5998274,402,14597,48130,4411,28739,Your #ThreeLions to face France! 🙌 https://t.co/hfuYqFG8bp,1,0,0,1,0
1594996529990868992,Twitter for iPhone,2022-11-22 10:09:41+00:00,@BBCBreakfast What a legend!,BBCBreakfast,26044,4259,False,0,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1594711357949181952,Twitter for iPhone,2022-11-21 15:16:30+00:00,Number 1 album and massive England win in the same week! Happy days!,,167013,29381,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1594710894977732610,Twitter for iPhone,2022-11-21 15:14:40+00:00,Unbelievable performance from England!! Loved that,,132770,17806,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1594686046633168896,Twitter for iPhone,2022-11-21 13:35:56+00:00,"RT @Football__Tweet: WHAT A MOMENT FOR THE 19-YEAR OLD! 

#ENG | #IRN | #FIFAWorldCup https://t.co/Wr3S2F2G43",,0,2708,False,1,0,0,3,1,0,0,True,1594685774133624832,823253,687,797,134963,2708,39452,,,,,,,,,0,0,0,0,0
1594685921445974019,Twitter for iPhone,2022-11-21 13:35:26+00:00,JUUUUUUUUUUDE!,,165355,18114,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1594666516259241985,Twitter for iPhone,2022-11-21 12:18:19+00:00,COME ON ENGLAND!,,149473,21239,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593661905780019202,Twitter for iPhone,2022-11-18 17:46:21+00:00,RT @LTHQOfficial: Louis Tomlinson. Faith In The Future. The UK No.1 album. https://t.co/554atIg9vt,,0,26237,False,1,0,0,0,1,0,0,True,1593653827911155712,1383132,1,830,1272,26237,100914,,,,,,,,,0,0,0,0,0
1593660590303617024,Twitter for iPhone,2022-11-18 17:41:08+00:00,Don’t even know what to say. Just mind blown. THANK YOU!,,180714,37627,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593652174013202433,Twitter for iPhone,2022-11-18 17:07:41+00:00,The support over this release week has been on a different level. Thank you so much to everyone involved!,,155382,35440,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593651338226896899,Twitter for iPhone,2022-11-18 17:04:22+00:00,"NUMBER 1 IN THE UK!

Fucking love you all!!!",,234120,61708,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593239758221676547,Twitter for iPhone,2022-11-17 13:48:53+00:00,@NiallOfficial Thanks mate! See you soon,NiallOfficial,259014,46972,False,0,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593233244866383876,Twitter for iPhone,2022-11-17 13:23:01+00:00,@skameless This is also true but we have a shot!,skameless,34838,6080,False,0,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593232992641908736,Twitter for iPhone,2022-11-17 13:22:00+00:00,@silverIouie @earthIouis You’re all smashing it!! It’s going to be so close,silverIouie,43722,8083,False,0,0,0,0,2,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593231452271169541,Twitter for iPhone,2022-11-17 13:15:53+00:00,1 more day!,,156115,21464,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1593231339666669569,Twitter for iPhone,2022-11-17 13:15:26+00:00,"Woke up today with a good feeling! I’ve had nothing to do but lay in bed since my arm so I’ve been in Twitter a lot. Your support on this album means everything to me. Gifting albums to other fans, constant online support, professional like marketing plans etc etc THANK YOU!",,175186,33400,False,0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1592999486582030336,Twitter for iPhone,2022-11-16 21:54:08+00:00,"Well that was fun! Enjoyed listening along with you all. Thanks for having me @Tim_Burgess 

Massive thank you to you the fans for your incredible support on this record. I loved every minute of making it and can’t wait for tour next year.",,94372,16883,False,0,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1592998943415185408,Twitter for iPhone,2022-11-16 21:51:59+00:00,"That’s the way love goes, also one of my favourites. Always loved dry your eyes by the streets and wanted to write a similar concept. Again love the strings at the end! @LlSTENlNG_PARTY",,87468,14446,False,0,0,0,0,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
