id,source,created_at,tweet,in_reply_to_screen_name,favorite_count,retweet_count,is_quote_status,media_count,url_count,symbol_count,hashtag_count,mention_count,mention_total_follower_count,mention_total_status_count,is_retweet,retweet_id,retweet_user_follower_count,retweet_user_friend_count,retweet_user_favorites_count,retweet_user_status_count,retweet_retweet_count,retweet_favorite_count,quote_id,quote_user_follower_count,quote_user_friend_count,quote_user_favorites_count,quote_user_status_count,quote_retweet_count,quote_favorite_count,quote_full_text,quote_media_count,quote_url_count,quote_symbol_count,quote_hashtag_count,quote_mention_count
1603194075577868289,Twitter for iPhone,2022-12-15 01:03:48+00:00,RT @DEADLINE: Selena Gomez and Stacey Abrams are teaming up to produce a music documentary for Discovery+ https://t.co/4ZGQXfNBuK,,0,903,False,0,1,0,0,1,1105552,219003,True,1603144899154644992,1105552,120571,2663,219003,903,6137,,,,,,,,,0,0,0,0,0
1601806043259994112,Twitter for iPhone,2022-12-11 05:08:15+00:00,RT @nbcsnl: 💞 @selenagomez 💞 https://t.co/CXdder5nze,,0,1991,False,1,0,0,0,2,69941266,28553,True,1601801221207113728,3361398,697,10934,23058,1991,13825,,,,,,,,,0,0,0,0,0
1599959986838286336,Twitter Web App,2022-12-06 02:52:41+00:00,Tune in to @FallonTonight tonight 11:35 PM ET on NBC! https://t.co/os155rL0Pq,,38913,3697,False,1,0,0,0,1,4508126,99686,False,,,,,,,,,,,,,,,,0,0,0,0,0
1599920830326378498,Twitter for iPhone,2022-12-06 00:17:05+00:00,"RT @rarebeauty: Introducing the NEW Positive Light Silky Touch Highlighter + Brush. ✨

This innovative powder highlighter gives skin an ins…",,0,1276,False,0,0,0,0,1,140702,2658,True,1599813609521287168,140702,143,6808,2658,1276,9036,,,,,,,,,0,0,0,0,0
1597636524413448194,Twitter for iPhone,2022-11-29 17:00:04+00:00,"Today is Giving Tuesday, a day that encourages people to give back in whatever ways they can. Please join me in making a difference. Donate $10 to the Rare Impact Fund and enjoy 15% off
sitewide today only at https://t.co/B8nqmxZ34j",,8238,1214,False,0,1,0,0,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1597305120869715968,Twitter for iPhone,2022-11-28 19:03:11+00:00,RT @Surgeon_General: Grateful to my friend @SelenaGomez for sharing her story in “My Mind &amp; Me” and for inviting me to be a part of her jou…,,0,658,False,0,0,0,0,2,67695349,19192,True,1597294403843809280,1115481,187,2601,13697,658,4143,,,,,,,,,0,0,0,0,0
1596278539757785091,Twitter for iPhone,2022-11-25 23:03:55+00:00,Listen to #MyMindAndMe on the A-List Pop Playlist on @Applemusic! https://t.co/tpj7V2gwG6 https://t.co/UqruYbLQtH,,12808,1625,False,1,1,0,1,1,10308943,38561,False,,,,,,,,,,,,,,,,0,0,0,0,0
1594722741038776320,Twitter Web App,2022-11-21 16:01:44+00:00,RT @LupusResearch: Don’t miss tonight’s #BreakingThroughGala for an unforgettable night!! Tune in ONLINE at 7pm EST to support the promisin…,,0,447,False,0,0,0,1,1,48642,16083,True,1594720698936729600,48642,880,11068,16083,447,2858,,,,,,,,,0,0,0,0,0
1592925475709407233,Twitter Web App,2022-11-16 17:00:03+00:00,Shop the new #MyMindAndMe collection in my store now. 100% of net proceeds will be donated to the Rare Impact Fund to give people the access they need to support their mental health. https://t.co/IAkD2wQ8L2 https://t.co/3Km7iWF3fj,,12077,1917,False,1,1,0,1,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0
1592620281134125056,Twitter Web App,2022-11-15 20:47:19+00:00,You can still redeem 2 free months of @appletvplus to watch #MyMindAndMe and more! https://t.co/ipG1TY7feD https://t.co/yknHJzWvNn,,20482,2573,False,1,1,0,1,1,161230,3820,False,,,,,,,,,,,,,,,,0,0,0,0,0
1590795766234509312,Twitter Web App,2022-11-10 19:57:20+00:00,RT @StanfordHIL: @SelenaGomez is honored as the first recipient of the Mental Health Innovations Award “Mentee” for Excellence in #Mentalhe…,,0,1503,False,0,0,0,0,2,66580377,5996,True,1590783411685580800,509,142,1719,501,1503,6796,,,,,,,,,0,0,0,0,0
1590054425359310848,Twitter for iPhone,2022-11-08 18:51:31+00:00,"RT @MarkRuffalo: NYers, check out this badass video w/ fellow NYers @marisatomei, @_juliannemoore &amp; @JohnLeguizamo! And make a plan to VOTE…",,0,1151,False,0,0,0,0,2,8550968,50576,True,1589741333551333376,8376825,2275,26093,50215,1151,6699,,,,,,,,,0,0,0,0,0
1589635119991914496,Twitter Web App,2022-11-07 15:05:21+00:00,RT @jayshetty: This week on the podcast I sit down with @selenagomez to discuss her battle with mental health and so much more ❤️ Full talk…,,0,1763,False,0,0,0,0,2,66945936,54916,True,1589619662270054400,366067,11848,65791,49421,1763,9938,,,,,,,,,0,0,0,0,0
