,Unnamed: 0,tweet,favorite_count,retweet_count,mention_count,id,mention_total_follower_count,quote_retweet_count,quote_mention_count,cleaned_text,cleaned_text_no_stopwords,sentiment,named_entities,matches,clean_text_no_stopwords_str,cosine_similarity
5683,5683,@AbbyWambach @katevoegele @SophiaBush @GloriaSteinem just released a new memoir?Thought it seemed like a good place 2begin?#MyLifeOnTheRoad,1541,370,4,685092731736199168,0,,0, just released a new memoirthought it seemed like a good place 2begin,"['released', 'new', 'memoirthought', 'seemed', 'like', 'good', 'place', '2begin']",positive,"[('2begin', 'CARDINAL')]",1,released new memoirthought seemed like good place 2begin,0.08072069254681026
621,621,"The Prime Minister hosted the #No10SpringShowcase at Downing Street today to fly the flag for British food, goods &amp; exports. 
 
Putting the best of British business on the global market is vital to growing our economy – with exports bringing £640bn into our economy last year 🇬🇧 https://t.co/Xx0eU5Ysjx",1368,230,0,1523739719166992384,0,,0,the prime minister hosted the at downing street today to fly the flag for british food goods exports putting the best of british business on the global market is vital to growing our economy  with exports bringing 640bn into our economy last year  ,"['prime', 'minister', 'hosted', 'downing', 'street', 'today', 'fly', 'flag', 'british', 'food', 'good', 'export', 'putting', 'best', 'british', 'business', 'global', 'market', 'vital', 'growing', 'economy', 'export', 'bringing', '640bn', 'economy', 'last', 'year']",positive,"[('today', 'DATE'), ('british', 'NORP'), ('british', 'NORP'), ('640bn', 'CARDINAL'), ('last year', 'DATE')]",1,prime minister hosted downing street today fly flag british food good export putting best british business global market vital growing economy export bringing 640bn economy last year,0.017656587538614512
10935,10935,"Oh, the places you'll go! Congratulations to all the student teams whose projects launched today from @NASA_Wallops. We wish you continued success. 🚀 https://t.co/aPHUIo8Ni9",2178,188,1,1557882688220037121,0,48.0,0,oh the places youll go congratulations to all the student teams whose projects launched today from we wish you continued success  ,"['oh', 'place', 'youll', 'go', 'congratulation', 'student', 'team', 'whose', 'project', 'launched', 'today', 'wish', 'continued', 'success']",positive,"[('today', 'DATE')]",2,oh place youll go congratulation student team whose project launched today wish continued success,0.09289466816155773
11995,11995,"Go download this free special holiday issue from @neymarjrcomics ! 🎄🦁🐅
https://t.co/xjpv1CPg7T https://t.co/26JV0zS2NG",2527,150,1,1075474724321398785,0,,0,go download this free special holiday issue from   ,"['go', 'download', 'free', 'special', 'holiday', 'issue']",positive,[],2,go download free special holiday issue,0.172239024814776
14256,14256,Spoiler: It hits us harder where we are the most vulnerable... but it's also the best sign to let go: https://t.co/bSApjT5DTS,93,31,0,1570340286202609667,0,,0,spoiler it hits us harder where we are the most vulnerable but its also the best sign to let go ,"['spoiler', 'hit', 'u', 'harder', 'vulnerable', 'also', 'best', 'sign', 'let', 'go']",positive,[],2,spoiler hit u harder vulnerable also best sign let go,0.08146280761756144
3262,3262,"“Life is like playing a violin solo in public and learning the instrument as one goes on.”
 
The Victorian visionary Samuel Butler, born on this day in 1835, on how to make the best of life, no matter the cards you've been dealt https://t.co/tZPs2TRqX0",70,15,0,1599547096092270592,0,,0,life is like playing a violin solo in public and learning the instrument as one goes on the victorian visionary samuel butler born on this day in 1835 on how to make the best of life no matter the cards youve been dealt ,"['life', 'like', 'playing', 'violin', 'solo', 'public', 'learning', 'instrument', 'one', 'go', 'victorian', 'visionary', 'samuel', 'butler', 'born', 'day', '1835', 'make', 'best', 'life', 'matter', 'card', 'youve', 'dealt']",positive,"[('one', 'CARDINAL'), ('samuel butler', 'PERSON'), ('day 1835', 'DATE')]",2,life like playing violin solo public learning instrument one go victorian visionary samuel butler born day 1835 make best life matter card youve dealt,0.04589183630596088
14378,14378,"Where do you go when you close your eyes? 💤

In this episode of Far Flung, take a journey into the dream world — the hazy place between reality and illusion where adventure awaits — no leaving bed required. 🛌

Listen now on @ApplePodcasts: https://t.co/qbMbGpSOty https://t.co/GBvdFLFRcp",59,9,1,1555555796766924802,638205,,0,where do you go when you close your eyes in this episode of far flung take a journey into the dream world  the hazy place between reality and illusion where adventure awaits  no leaving bed required listen now on ,"['go', 'close', 'eye', 'episode', 'far', 'flung', 'take', 'journey', 'dream', 'world', 'hazy', 'place', 'reality', 'illusion', 'adventure', 'awaits', 'leaving', 'bed', 'required', 'listen']",positive,[],2,go close eye episode far flung take journey dream world hazy place reality illusion adventure awaits leaving bed required listen,0.07392773875513027
14655,14655,"🎙️ Far Flung with @kidethnic is back! Buckle up to explore new amazing places and the ideas that flow from them. First up: Caracas, Venezuela! Learn why sometimes the best place to stay informed is the bus. Listen on @applepodcasts: https://t.co/gBTdUEsrXA https://t.co/T06ICxvgbh",25,9,2,1537555177435238400,640391,,0, far flung with is back buckle up to explore new amazing places and the ideas that flow from them first up caracas venezuela learn why sometimes the best place to stay informed is the bus listen on ,"['far', 'flung', 'back', 'buckle', 'explore', 'new', 'amazing', 'place', 'idea', 'flow', 'first', 'caracas', 'venezuela', 'learn', 'sometimes', 'best', 'place', 'stay', 'informed', 'bus', 'listen']",positive,"[('first', 'ORDINAL'), ('venezuela', 'GPE')]",2,far flung back buckle explore new amazing place idea flow first caracas venezuela learn sometimes best place stay informed bus listen,0.12383948856794869
14974,14974,"RT @TEDCountdown: In some places, growing a single ounce of cannabis indoors can release 324 pounds of CO2 (!!!)— the same emissions produc…",0,8,1,1516843409079681025,0,,0,rt in some places growing a single ounce of cannabis indoors can release 324 pounds of co2  the same emissions produc,"['rt', 'place', 'growing', 'single', 'ounce', 'cannabis', 'indoors', 'release', '324', 'pound', 'co2', 'emission', 'produc']",positive,"[('324 pound', 'QUANTITY')]",1,rt place growing single ounce cannabis indoors release 324 pound co2 emission produc,0.05576246758404075
9778,9778,"Thanks to The Nutcracker and ""'Twas the Night Before Christmas,"" sugar plums are a symbol of the holidays. But what are they, exactly?
https://t.co/rbB1nvkdaJ",14,2,0,1596489689317482506,0,,0,thanks to the nutcracker and twas the night before christmas sugar plums are a symbol of the holidays but what are they exactly,"['thanks', 'nutcracker', 'twas', 'night', 'christmas', 'sugar', 'plum', 'symbol', 'holiday', 'exactly']",positive,"[('night', 'TIME'), ('christmas', 'DATE'), ('symbol holiday', 'DATE')]",1,thanks nutcracker twas night christmas sugar plum symbol holiday exactly,0.07284371402863886
